cohort_month	total_paid	second_pay_users	third_pay_users	second_pay_pct	3rd_pay_pct_of_all	3rd_pay_pct_of_2nd_pay
2025-03	3769	1844	989	48.9	26.2	53.6
2025-04	9241	4975	2873	53.8	31.1	57.7
2025-05	18274	10407	6380	56.9	34.9	61.3
2025-06	35769	20925	13132	58.5	36.7	62.8
2025-07	78266	43172	27064	55.2	34.6	62.7
2025-08	99069	54144	31294	54.7	31.6	57.8
2025-09	123680	66580	40301	53.8	32.6	60.5
2025-10	122701	58193	29199	47.4	23.8	50.2
2025-11	107328	40741	14837	38.0	13.8	36.4
2025-12	99034	31228	9620	31.5	9.7	30.8
2026-01	42561	13607	3648	32.0	8.6	26.8
