need	total_paid	second_pay_users	third_pay_users	3rd_pay_pct_of_all	3rd_pay_pct_of_2nd_pay
English doubts and translations	4077	2206	1233	30.2	55.9
To correct grammar in emails or documents	1271	638	334	26.3	52.4
To improve my spoken English	29722	14376	7758	26.1	54.0
To improve workplace communication	7410	3561	1891	25.5	53.1
(null - not set)	634479	305349	162673	25.6	53.3
Just exploring the app	1088	550	260	23.9	47.3
To prepare for an interview	2731	966	456	16.7	47.2
speak-to-clients	10793	3661	1071	9.9	29.3
social	13846	5123	1319	9.5	25.7
others	6772	2256	548	8.1	24.3
interviews	8748	2128	614	7.0	28.9
confidence	11230	3135	775	6.9	24.7
abroad	4305	1063	251	5.8	23.6
govt-exams	3061	785	169	5.5	21.5
workplace	277	61	7	2.5	11.5
