cohort_date        , cohort_size, mq_p0_pct, mq_p1_pct, mq_p2_pct, mq_p3_pct, mq_p4_pct, mq_p5_pct, ai_p0_pct, ai_p1_pct, ai_p2_pct, ai_p3_pct, ai_p4_pct, ai_p5_pct
"1 January, 2025"  , 7          ,     85.71,     42.86,     14.29,     14.29,     14.29,     14.29,     42.86,     14.29,     14.29,     14.29,     14.29,     14.29
"1 February, 2025" , 77         ,     98.7 ,     32.47,     23.38,     16.88,     14.29,     10.39,     37.66,     22.08,      9.09,      9.09,      2.6 ,      6.49
"1 March, 2025"    , 376        ,     98.67,     25.53,     14.63,     10.37,      7.98,      6.91,     53.46,     11.17,      6.65,      5.85,      4.52,      3.72
"1 April, 2025"    , 270        ,     96.67,     29.63,     16.3 ,     12.59,     10.74,      8.52,     87.04,     13.33,      7.41,      6.3 ,      4.07,      2.22
"1 May, 2025"      , 195        ,     97.44,     29.74,     14.87,     12.31,      9.23,      8.21,     84.1 ,     10.26,      5.64,      6.15,      4.62,      3.59
"1 June, 2025"     , 234        ,     94.02,     20.94,     12.82,      7.69,      8.12,      6.84,     85.04,     14.53,      8.55,      7.69,      8.12,      6.41
"1 July, 2025"     , "1,512"    ,     75.6 ,     10.52,      5.56,      3.44,      2.71,      2.45,     93.39,      5.16,      3.24,      2.58,      1.59,      1.46
"1 August, 2025"   , "1,782"    ,     79.46,      8.36,      3.93,      2.92,      2.97,      2.3 ,     82.44,      7.52,      3.09,      1.91,      2.02,      1.23
"1 September, 2025", "3,939"    ,     83.88,      8.96,      4.67,      3.66,      2.94,      2.36,     85.61,      6.83,      3.35,      2.39,      1.7 ,      1.29
"1 October, 2025"  , "4,860"    ,     77.16,      8.11,      4.77,      3.7 ,      3.07,      2.2 ,     86.77,      5.16,      2.49,      2.1 ,      1.56,      1.04
"1 November, 2025" , "4,084"    ,     79.16,     10.09,      7.37,      6.02,      4.9 ,          ,     86.88,      5.9 ,      4.11,      2.94,      2.29,       
"1 December, 2025" , "4,572"    ,     78.19,      9.45,      7.61,      4.9 ,          ,          ,     85.04,      5.18,      3.41,      2.33,          ,       
"1 January, 2026"  , "7,121"    ,     79.19,     10.45,      7.54,          ,          ,          ,     85.91,      4.06,      2.93,          ,          ,       
"1 February, 2026" , "11,891"   ,     74.11,     10.9 ,          ,          ,          ,          ,     73.68,      3.9 ,          ,          ,          ,       
"1 March, 2026"    , "15,453"   ,     90.19,          ,          ,          ,          ,          ,     33.31,          ,          ,          ,          ,       
