cohort_date,cohort_size,mq_p0_pct,mq_p1_pct,mq_p2_pct,mq_p3_pct,mq_p4_pct,mq_p5_pct,ai_p0_pct,ai_p1_pct,ai_p2_pct,ai_p3_pct,ai_p4_pct,ai_p5_pct
"1 January, 2025",2,100,50,0,0,50,0,0,50,0,50,50,0
"1 February, 2025",3,100,100,66.67,33.33,0,33.33,33.33,66.67,0,0,0,0
"1 March, 2025",3,100,0,0,0,0,0,33.33,0,0,0,0,0
"1 April, 2025",116,97.41,31.9,12.93,11.21,10.34,7.76,87.93,13.79,4.31,3.45,4.31,2.59
"1 May, 2025",468,99.36,30.13,18.16,12.82,10.68,9.4,78.63,10.9,7.91,5.34,4.91,4.7
"1 June, 2025",617,91.09,33.23,21.72,17.34,13.94,9.89,86.55,21.39,11.35,12.97,11.18,8.91
"1 July, 2025","4,601",72.98,16.47,11.21,7.32,6.28,5.8,93.81,8.85,7.8,6.61,4.91,4.46
"1 August, 2025","4,660",75.28,16.05,9.81,6.93,6.35,5.73,84.53,12,7.79,4.89,3.86,2.49
"1 September, 2025","5,955",83.41,13.55,7.59,6.08,5.68,4.79,83.44,8.53,4.55,3.27,2.75,1.76
"1 October, 2025","6,787",76.04,12.49,8.41,6.67,5.11,4.7,80.26,6.7,4.6,3.11,1.87,1.44
"1 November, 2025","5,329",75.96,12.85,9.25,7.45,6.32,,78.29,6.42,4,2.53,1.87,
"1 December, 2025","4,475",73.47,12.67,9.83,7.29,,,80.18,6.3,3.66,2.85,,
"1 January, 2026","6,706",76.45,15.15,11.51,,,,83.16,4.4,2.68,,,
"1 February, 2026","6,625",72.06,16.83,,,,,85.12,4.5,,,,
"1 March, 2026","4,181",87.89,,,,,,41.75,,,,,
