schema_name,table_name,column_name,data_type,nullable,constraint_type,foreign_table,index_name
public,_planetscale_import,ts,bigint,NOT NULL,PRIMARY KEY,,_planetscale_import_pkey
public,_planetscale_import,status,character varying(255),NULL,,,
public,activities,id,uuid,NOT NULL,PRIMARY KEY,,activities_pkey
public,activities,id,uuid,NOT NULL,PRIMARY KEY,,activities_not_archived_idx
public,activities,section_id,uuid,NOT NULL,UNIQUE,,idx_activities_section_main_active_cover
public,activities,section_id,uuid,NOT NULL,UNIQUE,,activities_section_id_idx
public,activities,section_id,uuid,NOT NULL,UNIQUE,,activities_section_id_order_index_key
public,activities,section_id,uuid,NOT NULL,FOREIGN KEY,public.sections,activities_section_id_idx
public,activities,section_id,uuid,NOT NULL,FOREIGN KEY,public.sections,activities_section_id_order_index_key
public,activities,section_id,uuid,NOT NULL,FOREIGN KEY,public.sections,idx_activities_section_main_active_cover
public,activities,order_index,integer,NOT NULL,UNIQUE,,activities_section_id_order_index_key
public,activities,order_index,integer,NOT NULL,UNIQUE,,idx_activities_section_main_active_cover
public,activities,metadata,jsonb,NOT NULL,,,
public,activities,track_type,text,NOT NULL,,,
public,activities,scenario_id,uuid,NOT NULL,FOREIGN KEY,public.speak_scenarios,
public,activities,archived_at,timestamp with time zone,NULL,,,
public,activities,inserted_at,timestamp with time zone,NOT NULL,,,
public,activities,updated_at,timestamp with time zone,NOT NULL,,,
public,activity_reports,id,uuid,NOT NULL,PRIMARY KEY,,activity_reports_pkey
public,activity_reports,user_id,uuid,NOT NULL,FOREIGN KEY,public.users,
public,activity_reports,scenario_id,uuid,NOT NULL,FOREIGN KEY,public.speak_scenarios,
public,activity_reports,question_data,jsonb,NOT NULL,,,
public,activity_reports,reasons,jsonb,NOT NULL,,,
public,activity_reports,inserted_at,timestamp with time zone,NOT NULL,,,
public,activity_set_members,id,uuid,NOT NULL,PRIMARY KEY,,activity_set_members_pkey
public,activity_set_members,activity_set_id,uuid,NOT NULL,FOREIGN KEY,public.activity_sets,
public,activity_set_members,scenario_id,uuid,NULL,FOREIGN KEY,public.speak_scenarios,unique_unarchived_scenario
public,activity_set_members,scenario_id,uuid,NULL,,,unique_unarchived_scenario
public,activity_set_members,worksheet_id,uuid,NULL,,,unique_unarchived_worksheet
public,activity_set_members,worksheet_id,uuid,NULL,FOREIGN KEY,public.skill_sheets,unique_unarchived_worksheet
public,activity_set_members,inserted_at,timestamp with time zone,NOT NULL,,,
public,activity_set_members,archived_at,timestamp with time zone,NULL,,,
public,activity_sets,id,uuid,NOT NULL,PRIMARY KEY,,activity_sets_pkey
public,activity_sets,description,text,NULL,,,
public,activity_sets,inserted_at,timestamp with time zone,NOT NULL,,,
public,activity_sets,updated_at,timestamp with time zone,NOT NULL,,,
public,activity_sets,archived_at,timestamp with time zone,NULL,,,
public,ad_group,ad_group_id,bigint,NULL,,,ad_group_ad_group_id_segments_date_idx
public,ad_group,ad_group_id,bigint,NULL,,,ad_group_ad_group_id_segments_date_segments_date1__airbyte__idx
public,ad_group,campaign_id,bigint,NULL,,,
public,ad_group,ad_group_name,character varying,NULL,,,
public,ad_group,segments_date,date,NULL,,,ad_group_ad_group_id_segments_date_idx
public,ad_group,segments_date,date,NULL,,,ad_group_ad_group_id_segments_date_segments_date1__airbyte__idx
public,ad_group,ad_group_campaign,character varying,NULL,,,
public,ad_group,metrics_cost_micros,bigint,NULL,,,
public,ad_group,ad_group_base_ad_group,character varying,NULL,,,
public,ad_group,_airbyte_raw_id,character varying(36),NOT NULL,,,ad_group__airbyte_raw_id_idx
public,ad_group,_airbyte_extracted_at,timestamp with time zone,NOT NULL,,,ad_group_ad_group_id_segments_date_segments_date1__airbyte__idx
public,ad_group,_airbyte_extracted_at,timestamp with time zone,NOT NULL,,,ad_group__airbyte_extracted_at_idx
public,ad_group,_airbyte_meta,jsonb,NOT NULL,,,
public,ad_group_ad,ad_group_id,bigint,NULL,,,ad_group_ad_ad_group_id_ad_group_ad_ad_id_segments_date_idx
public,ad_group_ad,ad_group_id,bigint,NULL,,,ad_group_ad_ad_group_id_ad_group_ad_ad_id_segments_date_seg_idx
public,ad_group_ad,segments_date,date,NULL,,,ad_group_ad_ad_group_id_ad_group_ad_ad_id_segments_date_idx
public,ad_group_ad,segments_date,date,NULL,,,ad_group_ad_ad_group_id_ad_group_ad_ad_id_segments_date_seg_idx
public,ad_group_ad,ad_group_ad_ad_id,bigint,NULL,,,ad_group_ad_ad_group_id_ad_group_ad_ad_id_segments_date_idx
public,ad_group_ad,ad_group_ad_ad_id,bigint,NULL,,,ad_group_ad_ad_group_id_ad_group_ad_ad_id_segments_date_seg_idx
public,ad_group_ad,ad_group_ad_status,character varying,NULL,,,
public,ad_group_ad,ad_group_ad_ad_name,character varying,NULL,,,
public,ad_group_ad,ad_group_ad_ad_group,character varying,NULL,,,
public,ad_group_ad,ad_group_ad_ad_hotel_ad,character varying,NULL,,,
public,ad_group_ad,ad_group_ad_ad_strength,character varying,NULL,,,
public,ad_group_ad,ad_group_ad_ad_local_ad_videos,jsonb,NULL,,,
public,ad_group_ad,_airbyte_raw_id,character varying(36),NOT NULL,,,ad_group_ad__airbyte_raw_id_idx
public,ad_group_ad,_airbyte_extracted_at,timestamp with time zone,NOT NULL,,,ad_group_ad__airbyte_extracted_at_idx
public,ad_group_ad,_airbyte_extracted_at,timestamp with time zone,NOT NULL,,,ad_group_ad_ad_group_id_ad_group_ad_ad_id_segments_date_seg_idx
